06.11.2024;calves;11;14;11;10;2;;;;;;;;;;;;;;;;;;;;;;;;
07.11.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.11.2024;skullcrushers;05.V;9;9;9;;lateral raises;05.V;7;6;7;;dumbbell curls;05.V;7;6;8;;hammer curls;05.V;6;5;5;;;;;;;
09.11.2024;squats;22;20;20;20;;good mornings;22;15;15;12;;floor bridges;22;25;30;30;;;;;;;;;;;;;
10.11.2024;lateral raises;4;15;10;10;;upright rows;4;15;10;15;;shoulder press;4;15;10;15;;;;;;;;;;;;;
11.11.2024;bench press;26;25;25;25;;pull ups deska;-1;9;5;03.V;;;;;;;;;;;;;;;;;;;
12.11.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.11.2024;single leg calf raises;16.V;11;10;11;;;;;;;;;;;;;;;;;;;;;;;;;
14.11.2024;dumbbell flies;05.V;20;20;20;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.2024;half sit dumbbell bicep curls;95;10;7;8;;dumbbell shoulder presses;95;13;13;12;;;;;;;;;;;;;;;;;;;
16.11.2024;lateral raises;05.V;10;11;9;;upright rows;05.V;10;11;12;;;;;;;;;;;;;;;;;;;
17.11.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.11.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.11.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.11.2024;single leg calf raises;13.V;13;12;95;3;;;;;;;;;;;;;;;;;;;;;;;;
21.11.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.2024;barbell overhead triceps extension;95;20;20;20;;barbell skullcrushers. ss->;15;7;10;7;;close grip bench press. (2/3) reps. ss<-;15;20;20;20;;dumbbell lateral raises;05.V;10;8;06.V;;;dumbbell upright rows;05.V;10;10;07.V
23.11.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.11.2024;elevated squats;26;20;20;20;20;bench bridges;26;15;15;20;15. hold;hamsting lean;11;15;12;;;;;;;;;;;;;;
25.11.2024;underhand pullups;-1;95;05.V;05.V;;;;;;;;;;;;;;;;;;;;;;;;;
26.11.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.2024;single leg calf raises;15;12;9;7;15;;;;;;;;;;;;;;;;;;;;;;;;
28.11.2024;single bicep dumbbell curl side lean;11;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.2024;barbell overhead triceps extension;11;15;13;11;;barbell skullcrushers;11;15;12;13;;barbell upright rows;11;15;15;15;;barbell bicep curls;16.V;10;8;7;;;;;;;
30.11.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.12.2024;barbell wide bench press;30;20;20;16;;deska pull ups;-1;8;4;02.V;;;;;;;;;;;;;;;;;;;
03.12.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.12.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.12.2024;single leg calf raises;15;12;10.VIII;10.VI;;;;;;;;;;;;;;;;;;;;;;;;;
